Timestamp,Account,Account.1,Amount Received,Amount Paid,Is Laundering,sender_entity_type,receiver_entity_type
8.0,719.0,19926.0,243.08,243.08,0,account,individual
8.0,1117.0,9072.0,409.33,409.33,0,account,account
8.0,540.0,2529.0,258.2,258.2,0,business,individual
8.0,978.0,8951.0,470.67,470.67,0,business,business
8.0,838.0,16273.0,470.69,470.69,0,individual,individual
8.0,660.0,9795.0,337.26,337.26,0,account,individual
8.0,1497.0,7052.0,191.58,191.58,0,individual,business
8.0,1816.0,19568.0,253.86,253.86,0,individual,individual
8.0,1335.0,8898.0,116.58,116.58,0,business,individual
8.0,295.0,4314.0,147.91,147.91,0,individual,business
8.0,3011.0,17890.0,498.25,498.25,0,individual,payment_institution
8.0,2834.0,19730.0,448.44,448.44,0,individual,individual
8.0,2979.0,6917.0,593.08,593.08,0,individual,individual
8.0,1452.0,11028.0,113.86,113.86,0,individual,individual
8.0,1649.0,245.0,368.7,368.7,0,individual,business
8.0,1391.0,7328.0,137.58,137.58,0,business,account
8.0,2783.0,19808.0,386.64,386.64,0,individual,business
8.0,2040.0,12946.0,142.13,142.13,0,individual,individual
8.0,1037.0,9237.0,512.32,512.32,0,business,account
8.0,110.0,9992.0,114.63,114.63,1,individual,account
9.0,3421.0,19249.0,153.66,153.66,0,individual,individual
9.0,2577.0,2840.0,355.86,355.86,0,account,business
9.0,2954.0,19794.0,400.44,400.44,1,individual,individual
9.0,1113.0,11927.0,426.79,426.79,0,individual,individual
9.0,2238.0,1778.0,104.33,104.33,0,business,account
9.0,2560.0,10737.0,296.95,296.95,0,individual,individual
9.0,3237.0,17315.0,129.88,129.88,0,individual,business
9.0,2894.0,18264.0,541.72,541.72,0,business,individual
9.0,1173.0,9255.0,438.67,438.67,0,business,individual
9.0,85.0,13759.0,127.55,127.55,0,individual,individual
9.0,2892.0,7090.0,586.41,586.41,0,individual,business
9.0,3490.0,18336.0,119.72,119.72,0,individual,business
9.0,1690.0,9777.0,200.83,200.83,0,account,individual
9.0,3350.0,19425.0,142.02,142.02,0,individual,individual
9.0,2679.0,9553.0,363.27,363.27,0,individual,individual
9.0,2195.0,9984.0,159.97,159.97,0,payment_institution,business
9.0,2168.0,9961.0,117.98,117.98,0,individual,account
9.0,1628.0,5024.0,278.17,278.17,0,individual,individual
9.0,1349.0,9744.0,135.69,135.69,0,business,business
9.0,1533.0,8576.0,109.34,109.34,0,business,individual
9.0,1482.0,17268.0,175.82,175.82,0,individual,business
9.0,569.0,3336.0,337.64,337.64,0,individual,individual
9.0,2461.0,4449.0,242.32,242.32,0,account,individual
9.0,352.0,11924.0,167.0,167.0,0,individual,individual
9.0,2910.0,9744.0,577.96,577.96,0,business,individual
9.0,2946.0,10848.0,599.89,599.89,0,individual,individual
9.0,1708.0,18224.0,205.58,205.58,0,individual,individual
9.0,1322.0,19432.0,195.72,195.72,0,individual,individual
9.0,2912.0,7632.0,509.73,509.73,1,individual,individual
9.0,574.0,9985.0,286.33,286.33,0,payment_institution,individual
9.0,1828.0,7187.0,357.19,357.19,0,individual,individual
9.0,2855.0,19940.0,574.44,574.44,1,business,individual
9.0,2134.0,12932.0,114.81,114.81,0,individual,account
9.0,3596.0,8640.0,146.36,146.36,0,individual,individual
9.0,2821.0,19920.0,416.14,416.14,1,account,account
9.0,2914.0,6304.0,593.34,593.34,1,individual,account
9.0,1563.0,9425.0,158.27,158.27,0,individual,account
9.0,2177.0,18755.0,174.27,174.27,0,individual,business
9.0,984.0,4016.0,563.27,563.27,0,account,account
9.0,1676.0,14032.0,350.32,350.32,0,individual,individual
9.0,1264.0,8835.0,137.99,137.99,0,individual,individual
9.0,3046.0,9232.0,554.09,554.09,1,business,individual
9.0,1478.0,9920.0,157.36,157.36,0,individual,individual
9.0,1578.0,5621.0,166.0,166.0,0,individual,individual
9.0,262.0,19764.0,137.24,137.24,0,account,payment_institution
9.0,524.0,4186.0,294.67,294.67,0,business,individual
9.0,2942.0,16933.0,482.67,482.67,0,account,individual
9.0,1950.0,9157.0,243.27,243.27,0,individual,individual
9.0,2167.0,3412.0,194.25,194.25,0,payment_institution,individual
9.0,788.0,19520.0,307.23,307.23,1,account,account
9.0,2587.0,12102.0,282.02,282.02,0,business,individual
9.0,2556.0,7794.0,201.5,201.5,0,individual,account
9.0,2132.0,4936.0,182.88,182.88,0,individual,individual
9.0,1724.0,17943.0,325.39,325.39,0,individual,business
9.0,1138.0,2577.0,510.54,510.54,0,business,individual
9.0,1789.0,19158.0,216.66,216.66,0,individual,individual
9.0,1965.0,13844.0,345.89,345.89,0,individual,individual
9.0,338.0,18208.0,137.8,137.8,0,individual,individual
9.0,752.0,18833.0,342.5,342.5,0,account,individual
9.0,2137.0,8131.0,138.39,138.39,0,individual,individual
